Day;Tmax;Tmin;Tmean
2020.01.01;3;0,2;1,6
2020.01.02;3,3;-0,5;1,4
2020.01.03;2,4;-0,7;0,85
2020.01.04;1;1,1;1,05
2020.01.05;3,5;-0,7;1,4
2020.01.06;1;-1;0
2020.01.07;1,7;-1,3;0,2
2020.01.08;1,1;-1,2;-0,05
2020.01.09;1,3;-1;0,15
2020.01.10;1,5;-0,7;0,4
2020.01.11;6,5;0,2;3,35
2020.01.12;4,2;0,8;2,5
2020.01.13;2,7;-0,3;1,2
2020.01.14;2,9;-0,5;1,2
2020.01.15;3,1;-0,4;1,35
2020.01.16;3;-0,1;1,45
2020.01.17;2,5;-0,3;1,1
2020.01.18;1,7;-0,8;0,45
2020.01.19;2,8;0,1;1,45
2020.01.20;4,4;-0,1;2,15
2020.01.21;3,6;-0,5;1,55
2020.01.22;2,8;-0,9;0,95
2020.01.23;3,4;-0,6;1,4
2020.01.24;1,7;-1,6;0,05
2020.01.25;1,6;-0,9;0,35
2020.01.26;1,2;0,3;0,75
2020.01.27;5,7;1,5;3,6
2020.01.28;4,7;0,3;2,5
2020.01.29;5,3;1,5;3,4
2020.01.30;4,5;0,3;2,4
2020.01.31;11;1,5;6,25
2020.02.01;10,6;5,5;8,05
2020.02.02;12,8;8,6;10,7
2020.02.03;10,8;7,3;9,05
2020.02.04;7,4;3;5,2
2020.02.05;7;0,9;3,95
2020.02.06;4,3;-0,1;2,1
2020.02.07;6,8;1,2;4
2020.02.08;4,1;-0,8;1,65
2020.02.09;5,3;-0,6;2,35
2020.02.10;12;3,5;7,75
2020.02.11;7,9;4,4;6,15
2020.02.12;6,4;2,2;4,3
2020.02.13;7,4;1,4;4,4
2020.02.14;8;4,9;6,45
2020.02.15;8,2;2,5;5,35
2020.02.16;9,1;2;5,55
2020.02.17;11;3,6;7,3
2020.02.18;10,8;6;8,4
2020.02.19;7,8;3,1;5,45
2020.02.20;6,8;2,2;4,5
2020.02.21;7,8;2,6;5,2
2020.02.22;8,6;1,6;5,1
2020.02.23;10,8;5;7,9
2020.02.24;12,3;5;8,65
2020.02.25;14,4;4,2;9,3
2020.02.26;8,9;4,7;6,8
2020.02.27;6,8;2,6;4,7
2020.02.28;7,1;2,1;4,6
2020.02.29;8,9;1,4;5,15
2020.03.01;9,6;6,5;8,05
2020.03.02;12,4;7,5;9,95
2020.03.03;10,5;6,1;8,3
2020.03.04;8,9;5,1;7
2020.03.05;9,8;2,9;6,35
2020.03.06;5,6;3,8;4,7
2020.03.07;9,3;4,9;7,1
2020.03.08;9;2,5;5,75
2020.03.09;10;3,4;6,7
2020.03.10;11,3;4,4;7,85
2020.03.11;14,6;6,8;10,7
2020.03.12;16,7;9,5;13,1
2020.03.13;13,1;7,2;10,15
2020.03.14;9,7;4,8;7,25
2020.03.15;8,9;2,1;5,5
2020.03.16;10,6;2,5;6,55
2020.03.17;13,1;4,1;8,6
2020.03.18;15,5;7,8;11,65
2020.03.19;17,2;8,9;13,05
2020.03.20;17,6;10,5;14,05
2020.03.21;15,4;4,8;10,1
2020.03.22;5,8;1,4;3,6
2020.03.23;3,7;0;1,85
2020.03.24;6,2;0,1;3,15
2020.03.25;5;0,5;2,75
2020.03.26;11,9;3;7,45
2020.03.27;14,4;6,2;10,3
2020.03.28;16,4;8;12,2
2020.03.29;15,8;8,8;12,3
2020.03.30;8,1;2;5,05
2020.03.31;8,3;1,6;4,95
2020.04.01;10;3,1;6,55
2020.04.02;11,1;3,2;7,15
2020.04.03;13,8;4,2;9
2020.04.04;15;6,6;10,8
2020.04.05;15,9;7,9;11,9
2020.04.06;15,6;8;11,8
2020.04.07;17;8,2;12,6
2020.04.08;19,2;9,8;14,5
2020.04.09;20,5;11,3;15,9
2020.04.10;18,8;12,5;15,65
2020.04.11;18,9;10,6;14,75
2020.04.12;17,9;10,8;14,35
2020.04.13;21,1;11,9;16,5
2020.04.14;10,9;7,2;9,05
2020.04.15;13,6;5,3;9,45
2020.04.16;19,5;8,1;13,8
2020.04.17;21,4;11,4;16,4
2020.04.18;20,5;12,7;16,6
2020.04.19;17;12,4;14,7
2020.04.20;15,4;8,4;11,9
2020.04.21;16,2;7,8;12
2020.04.22;17,2;8,4;12,8
2020.04.23;18,5;9,6;14,05
2020.04.24;18,9;11,4;15,15
2020.04.25;18,4;12,3;15,35
2020.04.26;18,3;9,2;13,75
2020.04.27;18,8;10,9;14,85
2020.04.28;22,2;12,1;17,15
2020.04.29;18,4;14,2;16,3
2020.04.30;21;12,1;16,55
2020.05.01;19,1;14,1;16,6
2020.05.02;19,4;12,3;15,85
2020.05.03;17,8;10,9;14,35
2020.05.04;19,5;10;14,75
2020.05.05;17,5;12;14,75
2020.05.06;15,6;8;11,8
2020.05.07;16,3;9,4;12,85
2020.05.08;21,8;9,7;15,75
2020.05.09;23,1;14,1;18,6
2020.05.10;24;15,8;19,9
2020.05.11;24,6;15,8;20,2
